Kritik dan Saran,Klasifikasi
lebih adil dalam memberi nilai,Kurang
Penyampaian materi melalui presentasi tidak efektif,Kurang
Jangan terlalu cepat memberikan materinya bu. Jangan pelit nilai,Kurang
Setelah memberikan motivasi ke mahasiswa jangan di jatuhkan mentalnya lagi dengan ucapan ibu dosen yang terhormat dengan menyindir dan mencela dengan ucapan yang di sampaikan setiap saat perkuliahan,Kurang
Walaupun tidak ada kelas setidaknya beri materi Bu,Kurang
Jangan telat.,Kurang
"ga pernah mau menjelaskan materi atau soal lebih dahulu,sehingga sejam diem2an",Kurang
"Saran untuk pak Asrofi, pembelajaran diusahakan agar tidak membosankan dan tidak melebihi jam pelajaran. Terimakasih 🤗",Kurang
Konfirmasi MK kadang terlambat,Kurang
"Sering tidak masuk kelas, sehingga tidak tahu tentang materi yang dipelajari. Semoga jika bertemu lagi, bisa masuk kelas dan bisa berjumpa walaupun lewat gmeet ataupun zoom, terimakasih.",Kurang
Tdk ad,Kurang
G ada,Kurang
Terlalu cepat dalam memyampaikan materi,Kurang
Terlalu cepat dalam memyampaikan materi,Kurang
Dosen tidak memberikan materi,Kurang
sebaiknya dosen bis lebih mengatur waktu agar bisa mengajar setiap waktunya,Kurang
tidakada,Kurang
Tugas terlalu memberatkan mahasiswa,Kurang
Lebih kreatif dlm mengajar agar tdk boring,Kurang
Kurang jelas dalam menjelaskan materi,Kurang
Kurang jelas dlm mengajar,Kurang
Jangan mengajar terlalu cepat.,Kurang
Dosen tidak pernah hadir dalam 1 semester,Kurang
"Untuk mulai perkuliahannya jangan kemalaman ya, kadang keburu ngantuk, jadi ketiduran .",Kurang
Pembelajaran yg diberikan terlalu monotoon  sehingga terkadang membosankan,Kurang
Kelas malam masa disamakan kelas pagi. Kami kerja jadi kalo kasi tugas tolong dimengerti 😌,Kurang
"sebaiknya bapak jangan ada asisten dosen, karena asisten dosennya bapak temperamen.",Kurang
sebaiknya jangan diam diaman selama satu jam pak biar kita juga dapat ilmu.,Kurang
"kami bingung terhadap materi anggaran perusahaan, karena bu Ghea jarang masuk",Kurang
"kami sebagai mahasiswa tidak paham tentang materi ASP ini, tetapi terkadang dosen tidak mau menjelaskan terlebih dahulu tentang materinya",Kurang
Tolong ya Bu harusnya mengajar sesuai dengan jadwalnya jangan malah jarang mengajar sekali,Kurang
Kalo bisa dijelasin pak materinya jangan malah satu jam diem-diem terus,Kurang
"Bu kalau bikin soal UTS atau uas opsi nya jangan pake ""a dan b benar"" atau ""b dan c benar"" dsb soalnya di ekuliah gada opsi abcd nya dan opsinya juga kadang dibolak-balik (diacak) jadi bingung kalau mau jawab",Kurang
"tidak ada
",Kurang
Terlalu ketat dalam mengajar,Kurang
Kur,Kurang
Tidak adanya penjelasan saat pengerjaan tugas baru,Kurang
Penjelasan tentang perintah lumayan kurang jelas,Kurang
Penjelasan tentang pernyataan soal dari dosen kurang jelas sehingga cukup bingung saat mengerjakan soal,Kurang
"untuk pak sunarto menurut saya dalam mengajar atau menjelaskan materi kurang jelas, sehingga banyak mahasiswa yang boring atau tidak ada sesuatu yang menarik ",Kurang
Tidaknada,Kurang
Terlalu cepat dalam menyampaikan materi. Dan terlalu cuek dengan mahasiswa,Kurang
1 dosen memegang 1 matkul saja. Karena mk motion graphict ini jadi jarang di ajarkan dengan maksimal. Jarang masuk,Kurang
Kelas online kurang cocok untuk matkul ini. Karena menurut saya matakuliah ini harus secara tatap muka. Masih mending nonton tutorial langsung di youtube,Kurang
Menurut saya jangan pakai asdos,Kurang
Kurang dalam cara menyampaikan bahan ajar kepada mahasiswa,Kurang
kurang tepat waktu,Kurang
"Jarang memberi penjelasan materi ke mahasiswa hanya memberikan ppt sama tugas tiap minggunya, dimohon untuk kedepannya jangan seperti itu",Kurang
Ga tau,Kurang
Metode pembelajarannya terlalu monoton,Kurang
"Pembelajaran lebih bervariasi lagi, jgn hanya menonton vidio yt dan resume (jarang daring menggunakan gmeet)",Kurang
lebih jelas lagi dalam menjelaskan materi,Kurang
Tidkak ada,Kurang
Cara mengajar kurang menyenangkan,Kurang
Maaf sebelumnya klu bisa asisten dosen sediaan solid diganti,Kurang
Kurang dalam mengajar,Kurang
Ga tah,Kurang
Kurang jelas ketika mengajar,Kurang
"Materi yg disampaikan sulit dipahami, tugas sulit :"")",Kurang
Dalam pembelajaran praktek sediaan solid dosen nya sangat sabar. Dosen selalu memberikan pertanyaan apabila ada mahasiswa ada yang belum paham dalam materi tersebut.,Kurang
Sebaiknya dosen menjelaskan materi secara rinci karena tidak semua mahasiswa mengetahui apa yang diajarkan,Kurang
Ga ada,Kurang
masuk oh jangan tugas terus,Kurang
Ketika menerangkan kurang jelas dipahami,Kurang
Seharusnya dosen menjelaskan terlebih dahulu apa yang akan di praktekkan,Kurang
Dosen jarang masuk lab. Lebih sering praktikum didampingi oleh asisten laboratorium / laboran,Kurang
jangan pilih kasih dong,Kurang
Cara pembelajaran kepada mahasiswa kurang efektif apabila tidak secara offline,Kurang
Kurang dalam menerangkan,Kurang
Kurang jelas dalam menerangkan,Kurang
Kurang dalam penugasan dihubungi,Kurang
"Banyak kendala di mata kuliah ini contohnya seperti : mahasiswa yg tidak memiliki komputer/laptop tidak dapat mengikuti pembelajaran daring, mahasiswa yg sudah memiliki komputer/laptop namun aplikasi pembelajaran yg digunakan tidak support di laptop/komputer mahasiswa. Jadi sulit jika dilakukan secara daring.",Kurang
Kurang dalam menjelaskan,Kurang
Dalam menyampaikan materi lebih jelas lagi dan pada saat praktikum tidak terlalu mengandalkan petugas yang ada di laboratorium karena jujur materi yang disampaikan petugas di laboratorium kurang jelas,Kurang
"Kritik : jarang mengisi perkuliahan, hanya memberi PPT",Kurang
Tolong lain kali mudah dihubungi atau direspon jika mahasiswa mengingatkan pembelajarannya,Kurang
Menerangkan terlalu cepat kurang dipahami,Kurang
ngga ada,Kurang
"Dosen jarang mendampingi praktikum, praktikum didampingi oleh asisten laboratorium/ laboran namun selama praktikum laboran tidak menjelaskan cara yg baik dan benar saat pembuatan sediaan. Sering terjadi miss komunikasi dan tak jarang membuat sediaan dengan seadanya cara (tidak tahu benar atau salah).",Kurang
Mohon untuk lebih sering menjelaskan mengenai materi yg diajarkan,Kurang
"Terlalu cepat pada saat menjelaskan materi ketika teori maupun praktek.
Dosen jarang masuk karena ada kepentingan lain yang tidak bisa ditunda seperti mengurusi KTI dari kakak tingkat kami yang pada akhirnya digantikan oleh asistennya sehingga ada beberapa arahan yang membuat kami bingung seperti dosen bilang pakai metode ini, asistennya bilang pakai metode ini. Ketika ditanya ulang nanti jawabannya berbeda lagi. (Ketika praktek)",Kurang
Video pembelajaran dalam akun youtube bu Inur terkadang tidak jelas baik itu suara maupun tulisannya.,Kurang
"Terlalu cepat pada saat menjelaskan materi ketika teori maupun praktek.
Dosen jarang masuk karena ada kepentingan lain yang tidak bisa ditunda seperti mengurusi KTI dari kakak tingkat kami yang pada akhirnya digantikan oleh asistennya sehingga ada beberapa arahan yang membuat kami bingung seperti dosen bilang pakai metode ini, asistennya bilang pakai metode ini. Ketika ditanya ulang nanti jawabannya berbeda lagi. (Ketika praktek).
Memberikan materi terlebih dahulu dalam bentuk file agar mahasiswa/mahasiswi dapat mempelajari nya",Kurang
Kurang di pahami dalam menerangkan,Kurang
Dalam mengajar terlalu cepat,Kurang
"Ketika dosen tidak bisa masuk maka diganti tugas dan ketika tidak bisa masuk lalu tidak ada tugas maka harus diganti pada hari lain. Jangan ada tugas+diganti hari lain ketika beliau tidak bisa masuk, takutnya kelas yang diampu tugas sudah terlalu banyak dan deadline yang cepat sehingga kami kewalahan pula.",Kurang
Tidak ada yang,Kurang
"Kurang jelas dalam menyampaikan materi, untuk kedepannya agar lebih jelas dalam menyampaikan materi",Kurang
Menjelaskan materi pembelajaran tidak hanya memberikan modul saja,Kurang
kurang jelas dalam menyampaikan materi,Kurang
Pada saat menyampaikan dan menjelaskan materi terlalu cepat.,Kurang
Emosionalnya kuat jadi agak hening,Kurang
Materi kadang lupa kirim di google classroom.,Kurang
"Jarang menjelaskan materi secara detail, lebih sering memberikan tugas kepada mahasiswa",Kurang
Pa agus jarang masuk mengisi kuliah. Hanya memberikan materi dan tugas mungkin kalau mengisi perkuliahan bakal lebih memahami,Kurang
Saran dari saya situasi belajar kurang menarik kalau menjelaskan susah untuk dipahami,Kurang
Saran dari saya lebih baik meet dari pada diekuliah dan kalau menjelaskan susah untuk dipahami,Kurang
"Setidaknya dilakukan pertemuan walaupun tidak maksimal, tidak mengandalkan materi yang dikirimkan saja. Karena mahasiswa pun butuh penjelasan sehingga tidak merasa kesulitan.",Kurang
"Dari setelah uts sampai sekarang tidak pernah mengisi mk melalui meet atau yg lain, hanya memberikan ppt. Semoga bu tya cepat sembuh.",Kurang
Dalam memberikan materi pembelajaran lebih jelas lagi dan tidak terburu-buru agar mudah dipahami dan tidak mengandalkan petugas yang ada di laboratorium,Kurang
Kurang komunikasi,Kurang
Saran saya jangan cepat emosi dalam menghadapi mahasiswa,Kurang
Jangan suka berubah-ubah pak kalo ngasih aturan tentang laporan yaa pak,Kurang
Jarang masuk mata kuliah dan hanya memberikan materi tanpa menjelaskan,Kurang
Tidak ada saran atau kritik,Kurang
Hemm,Kurang
Ibu kok sering gk masuk sih ke kls kita😔,Kurang
"Jangan ngasih tugas terus , jarang di jelasin ",Kurang
Bu kalo ngasih tugas laporan tolong lah bu jangan banyak-banyak😔,Kurang
"Sebaiknya tetap mengajar walaupun itu lewat online dari pada hanya memberikan ppt saja, yang pastinya banyak mahasiswa yg tidak pham karena hanya mengandalkan ppt",Kurang
Jika dihubungi mahasiswa jangan cuma di baca saja karena masa pandemi seperti ini serba susah dan bingung,Kurang
Jangan susah jika dihubungi mahasiswa,Kurang
Jika di google meet suara dari bu Evi kurang terdengar,Kurang
Terkadang penjelasan ada yang kirang dipahami,Kurang
Jika menjelaskan materi jangan terlalu cepat saya tidak menangkap jelas materi,Kurang
Menurut saya slama ini cuma kasih materi dan tidak adanya pengajaran sehingga saya tidak terlalu paham dengan materi yang selama ibu kasih di ppt.,Kurang
"Tidak pernah masuk selama perkuliahan, hanya membagikan materi saja untuk dipelajari, jadi mahasiswa kurang mengerti",Kurang
Jangan galak - galak pak,Kurang
Jangan galak-galak bu,Kurang
Tiidak ada,Kurang
dikurangi penugasannya karena jarang masuk saat mata kuliah sehingga materi kurang bisa di mengerti.,Kurang
Jgn saklek saklek walaupun daring..,Kurang
"Karena di masa pandemi,jadi pembelajaran online kurang efektif ",Kurang
Gada,Kurang
"Mohon jgn ngasih tugas trs pak setiap pertemuan, disini juga butuh penjelasan, terimakasih",Kurang
kalo ngasih tugas jangan banyak banyak,Kurang
"Mohon maaf, usahakan perbanyak materi. Karena dengan tugas belum tentu mahasiswa mampu menguasai materinya",Kurang
Jika dihubungi langsung dijawab,Kurang
"Perbanyak materi , tugas tidak cukup untuk membuat mahasiswa mampu menguasai mata kuliah Teknologi Sediaan Solid",Kurang
Iyah,Kurang
"Dosen masuk cuma sekali dalam semester ini, udh byr mahal tadi tidak diajar mohon diperbaiki",Kurang
Sistem pembelajaran diperbaiki agar mahasiswa bisa paham,Kurang
LEBIH JELAS LAGI DALAM MENERANGKAN,Kurang
Penjelasan materi kurang bisa dipahami.,Kurang
agak susah di hubungi lewat WA,Kurang
terlalu sering memberi tugas tetapi jarang masuk memberikan penjelasan materi,Kurang
terlalu sering memberikan tugas tetapi jarang menjelaskan materi yang di share,Kurang
"Materi yang dijelaskan cukup banyak, jadi agak susah untuk memahami",Kurang
kurang jelas dalam memberikan materi,Kurang
dalam penyampaian materi kurang jelas mohon jika berbicara bahasa inggris alangkah baiknya diselingi pake bahasa indonesia agar mahasiswa bisa mudah memahami,Kurang
sukanya memberikan tugas ketika Mk jarang masuk juga ketika teori selalu tugas,Kurang
selalu memberkan tugas dan jarang memberikan penjelasan,Kurang
jarang masuk soalnya sibuk dengan pekerjaanya harusnya jika ada mk hari ini stop dalam pekerjaan lain di fokuskan untuk pembelajaran,Kurang
Penjelasanya kurang enak dan terlalu cepet,Kurang
Pak jokonya gak ada ketika praktek mniding kalau praketek pak jokonya hadir jgan diwakilkan,Kurang
Tidak ada praktek sama sekali mungkin karena pandemi jadi belum pernah ada kegiatan ini,Kurang
Tidak ada praktek untuk makul ini,Kurang
"Ga pernah praktikum , so gak ada saran dan kritik ",Kurang
terlalu cepat dalam menyampaikan materi,Kurang
Tidka ada,Kurang
"Ibu nya jarang masuk untuk mengajar, mungkin efek hamil kali ya jadi jarang masuk. Selama 1 semester ibu cuma masuk 1 atau 2 kali saja.",Kurang
Full bahasa inggris kalo njelasin materi emang bagus sih . tapi kalau ngomongnya kecepatan juga saya gak ngerti miss:(,Kurang
Belum pernah praktikum jadi tidak ada saran dan kritik,Kurang
Text book banget jadi monoton kalau ngejelasin materi pak .,Kurang
Belum ada saran dan kritik karena emang belum pernah praktikum langsung,Kurang
"Saran : -
Kritik : -",Kurang
Ibu maaf jika sedang mengajar tolong jangan mengobrol dengan teman/dosen yang lain apalagi sampai ditinggal hehehe,Kurang
"Ibu maaf, jika sedang mengajar tolong jangan sambil makan hehee",Kurang
Jangan memilah milih mahasiswa entah itu dari lulusan farmasi/tidak. Harus adil dalam pembelajaran.,Kurang
Jangan terlalu cepat dalam pembelajaran,Kurang
"Mohon jika menjelaskan lbh jelas lg, dan beri kepastian",Kurang
Materi yang diberikan kurang,Kurang
Jangan main tangan,Kurang
Sabarin aja yg banyak buat saya,Kurang
Hmm saya ga tau apa apa,Kurang
No,Kurang
"Sangat disayangkan materi yabg harusnya didapat dengan jelas namun dalam penyampaiannya sangat"" membingungkan.",Kurang
Puyeng banyakan nonton video😇,Kurang
"Mohon dengan sangat, jangan terlalu memaksakan pembelajaran luring dalam masa pandemi seperti sekarang ini.",Kurang
"Jangan terlalu memaksakan diri jika memang tidak sanggup, jadi kesannya seperti kurang pengetahuan dibidang atau mata kuliah ini.",Kurang
"Jelaskan apa yg harus dijelaskan jika sedang mk jangan selalu keluar dari mk yg tak ada kaitannya dengan mk yg ibu sedang mengajar, jika ada mahasiswa yg bertanya tolong jelaskan dengan lengkap dan berakurat. Jika sedang menerangkan tolong diselesaikan agar tidak muter2 pembahasannya satu2 dlu contoh : dosen : Chemical dalam dunia steward (langsung mengalihkan pembicaraan dan mengajak ngobrol mahasiswa lain ) sedangkan belum selesai pembelajarannya.",Kurang
"Saat praktek tida memiliki tempah yang sesuai dengan mata kuliahnya, dan ketersediaan alat dan bahan masih kurang ",Kurang
"Kuasai dahulu materi yang akan di ajarkan, ",Kurang
Saran cari dosen yang berpengalaman di bidang nya,Kurang
Suaranya di kencengin lagi,Kurang
Harus lebih menguasai materi yang akan diajarkan.,Kurang
Nih tolong ya .. dimana mana dosen itu pasti nyiapin bahan materi buat kita pelajari modul buat kita belajar pegangan kita sebagai mahasiswa .. di tanya modul jawabane cari diinternet terus buat apa adanya kelas ini buat apa mending gak usah di adain sekalian gak perlu kasih kamu pelajaran yg dosen nya sendiri pun gak siap .. kami bayar dikampus ini di jurusan ini dapet model dosen seperti ini khususnya saya merasa rugi .. ganti dosennya kalo memang gak siap mengambil mata kuliah ini .. jangan cuman bisa ganti ganti orang seenak mau nya sendiri tapi gak bisa mikirin kualitas yg ada .. itu BODOH namanya,Kurang
"dosen menyampaikan materi hanya berpaku pada yang ada diinternet,dan hanya menyampaikan ulang dengan cara membaca sepertibiasa,kalau dengan cara begitu kasih saja materi dan mahasiswa bisa membaca dengan sendiri-sendiri",Kurang
Kalo ngga mumpuni jadi kaprodi mundur saja kawan 🙏🙏 save Perhotelan,Kurang
Kalau tidak berkompeten jari kaprodi mundur saja kawan save Perhotelan 🙏🙏🙏,Kurang
Cara menyampaikan materi terkadang menggunakan kalimat/kata2 yang sulit dipahami mahasiswa,Kurang
Engga ada,Kurang
Materi kurang jelas,Kurang
"Masuk MK nya jangan terlalu lama pak,jdi buang waktu",Kurang
Jangan terlalu banyak menyelipkan candaan ditengah2 menyampaikan materi.,Kurang
Di ganti ajah Dosen B.inggris perhotelan'nya,Kurang
saran pak untuk tugas jangan sering² video ya pak😅,Cukup
Jika movie time mohon agar film yang ditayangkan film yang populer,Cukup
saran bu agar sering masuk kelas,Cukup
Semakin ditingkatkan lagi ibu,Cukup
Semoga lebih baik lg bu,Cukup
Saran saya ibu jika memberi materi tepat waktu,Cukup
Semoga lebih menyenangkan lagi saat menggunakan gmeet,Cukup
Semakin ditingkatkan lagi pak,Cukup
Vocabulary sangat meresahkan 😂,Cukup
Semoga lebih menyenangkan lagi,Cukup
"Jika memberi tugas kami diberitahu, di ekuliah tidak ada notifikasi untuk tugas. kami sering terlewat tugasnya karena tidak mengetahui",Cukup
Semakin ditingkatkan lagi bu,Cukup
Ditingkatkan lagi,Cukup
Cukup baik,Cukup
Semoga kedepannya lebih baik lagi dalam mengajar :),Cukup
Cukup.,Cukup
Dalam penyampaian materi perlu ditingkatkan lagi,Cukup
Jangan terlalu cepat penjelasannya saat offline,Cukup
Tidak ada saran,Cukup
Kurangin untuk metode meringkas.,Cukup
semoga kedepannya bisa mudah untuk dihubungi,Cukup
Saran : sudah cukup baik,Cukup
Tidak ada saran dan kritik pak,Cukup
Sudah cukup baik,Cukup
Sudah cukup jelas,Cukup
Hanya menjelaskan lewat youtube,Cukup
Mungkin bisa untuk sekali kali gmeet,Cukup
Lebih ditingkatkan lagi,Cukup
Pertahankan dan perbaiki,Cukup
Seharusnya ada hand book,Cukup
Menjelaskann materi agar lebih jelas lagi,Cukup
"Untuk metode pembelajaran yang di lakukan pada semester ini sebenarnya tidak terlalu efisien, karena mahasiswa di minta untuk presentasi materi setiap minggu dan dosen hanya menambahkan penjelasan di saat sisa waktu tinggal sedikit, sehingga mahasiswa tidak terlalu faham tentang materi tersebut.",Cukup
Dalam menjelaskan lebih detail lagi,Cukup
semoga bisa sabar menghadapi mahasiswanya,Cukup
Menjelaskan materi dengan jelas lagi,Cukup
tetap sabar ketika mengajar & tetap jd dosen yg baik,Cukup
"Belum deh, soalnya bu pipit baikkkk",Cukup
kalaupun tidak ada meet seenggaknya buat video materi atau buat ppt materi jangan mahasiswa di biarkan cuma absen di e kuliah aja ketika mau uas kami bingung mau mempelajari apa,Cukup
Sangat mudah di pahami pak. Namun ya di pertengahan semester harus ganti dosen,Cukup
"Mohon maaf ibuk, jika bertemu kembali di semester berikutnya lebih di tingkatkan kembali untuk hadir dalam menyampaikan materi",Cukup
Semoga bisa lebih tegas dalam mengajar,Cukup
Sehat selalu pak:),Cukup
Sehat selalu ibu:),Cukup
"Sarannya lebih baik kedepann nggeh bu, supaya kami lebih dekat lagi dengan ibu, walaupun ibu super sibuk sekali, kami bisa memaklumi bu. Semangat terus bu",Cukup
Apabila menjelaskan materi jangan terlalu cepat supaya kami bisa paham,Cukup
Ya lebih semangat klo ngajar pak,Cukup
Mantaulll,Cukup
Lebih ditingaktkan lagi nggeh bu komunkasi dengn mahasiswanya bu😊😊,Cukup
Cukp baik,Cukup
lebih baik lg,Cukup
"Dosen ketika menerangkan materi terlalu cepat bicaranya. Tapi masih bisa dipahami. Mungkin akan lebih paham ketika offline, karena sebenarnya saya sedikit kesusahan.",Cukup
Mantul pak lanjutkan,Cukup
Lebih banyakin via gmeet bu tapi ibu menerangkan jangan cuma di yt aja rada membosankan buu,Cukup
"Semuanya baik, lebih baik jika sesekali kuliah offline memberi kesempatan mahasiswa yang masih bingung dengan materi, agar lebih jelas.",Cukup
"Sebaiknya sesekali memberikan quiz, agar mahasiswa mendapat gambaran ketika UTS/UAS. Karena saya sewaktu uts mengalami kesulitan karena sangat jarang diberikan soal latihan.",Cukup
lebih tepatnya pembelajarannya harus belajar sendiri dulu baru dijelaskan lebih rinci,Cukup
"Sudah baik dalam penjelasan mengenai materi yang diberikan , tetapi terkadang kita bosan kalau materi yang diberikan terlalu banyak tidak dipersingkat , singkata tapi dapat dipahami daripada kebanyakan tapi mahasiswa kurang paham akan materi.",Cukup
Cara penyampaian materi harus lebih jelas lagi dan gaya belajarnya supaya lebih menyenangkan.,Cukup
Cukup,Cukup
Lebih banyakin materi,Cukup
Diperbaiki metode perkuliahannya,Cukup
Kalo disuruh nonton film jangan yang berbayar pa hehe,Cukup
Diperbaiki lagi metode perkuliahannya,Cukup
Untuk  memberikan materi atau tugas  sesuai jadwal MK,Cukup
Lebih semangat lagi di sesi penjelasanya,Cukup
"Sering"" meeting class bu",Cukup
Diharapkan dosen memberikan modul kepada mahasiswa,Cukup
"Baik, tapi akan lebih baiknya lagi jangan selalu menggukan yt dalam  pembelajaran, tetapi ada kontak menggunakan meet agar lebih enak berkomunikasinya.",Cukup
Contoh soal dan soal disamain bu penjelasanya jadi tidak bingung pas mengerjakan hehe,Cukup
Pembelajaran sma ujian materinya di samain pa hehe,Cukup
"Sudah baik, terkadang tidak ada kepastian mau meet atau tidak lebih baik ada komunikasi yang lebih agar mudah untuk mengetahui nya ",Cukup
Terus diperbaiki dan dikembangkan agar lebih baik,Cukup
Sedikit saran agar adanya materi dari dosen sendiri agar mahasiswa juga punya referensi dari dosen yang bersangkutan,Cukup
Saran diperbanyak lagi dalam gmeet,Cukup
"Sudah baik , tetapi terkadang terlalu kecepetan dalam pembelajaran jadi kurang memahami ",Cukup
Terus dikembangkan agar bisa menjadi lebih baik lagi,Cukup
Saran ditambah dengan modul,Cukup
"Baik, tetapi kadang ngga dikasih kepastian mau meet jam berapa padahal udah waktunya meet tapi ibunya belum masuk"" jadi bingung sendiri  , diperbaiki lagi ibu agar lebih baik .",Cukup
Dosen seringkali tidak masuk tanpa ada konfirmasi dan tiba tiba mengumumkan kelas pengganti secara mendadak tapi tidak apa apa karna UTS nya gampang:),Cukup
Saat kuis diekuliah agar dapat ditampilkan jawaban yg salah agar mahasiswa dapat mempelajarinya kembali dg baik karena yg ditampilkan hanya nilai nya saja.,Cukup
Saran lebih sering gmeet,Cukup
Semoga dalam mengajar bisa lebih baik lagi dari sebelumnya,Cukup
Saran seharusnya lebih sering gmeet,Cukup
Lebih tepat waktu apabila sudah ada jam mata kuliah nya,Cukup
Untuk penjelasan mohon dipercepat lagi,Cukup
Lebih baik memberikan modul untuk referensi belajar,Cukup
"Dalam mengajar mudah dipahami dan kalau bisa lebih asik, menarik lagi dalam mengajar biar jangan spaneng ",Cukup
Saat menjelaskan dimohon suaranya besar dan jelas,Cukup
Semoga dalam mengajar bisa lebih baik lagi agar mahasiswa lebih bisa menguasai materi.,Cukup
"Dalam mengajar cukup baik mudah dipahami semoga ilmunya bermanfaat yah pak, bisa diterapkan kedunia nyata dengan detail dan bisa menyenangkan lagi dalam mengajar biar jangan spaneng mahasiswa nya.",Cukup
Sudah cukup semoga kedepannya bisa lebih baik lagi dalam mengajar. Kalau bisa ada tambahan untuk menyampaikan materinya tidak berpatokan pada video di youtube saja.,Cukup
"Tidak ada, karena sudah mengajar dengan baik",Cukup
"Saran : Cara mengajar dan menjelaskan materinya harus ditingkatkan lg supaya jauh lebih baik untuk kedepannya.
Kritik : Tidak ada",Cukup
Sebaiknya saat MK dilakukan gmeet,Cukup
"Kedepannya makin rajin dalam menyampaikan materi baik lagi dalam mengajar, agar kami semua bisa mencakup materi yang ibu berikan dan juga kedepannya supaya bisa bikin pembelajaran yang menyenangkan dalam kelas maupun daring. Terimakasih🙏",Cukup
"Semoga dalam menjawab chat mahasiswa bisa lebih ditingkatkan lagi, karena cukup lama dan kadang cuma di read saja",Cukup
Sebaiknya dosen dalam menjelaskan materi pada saat daring harus lebih diperjelas lg supaya mahasiswa bisa lebih mudah memahaminya.,Cukup
Semoga kedepannya bisa lebih baik lagi,Cukup
Kedepannya bisa lebih baik lagi,Cukup
Semoga ke depannya bisa lebih baik lagi,Cukup
"Saran: Sebaiknya proses pembelajarannya lebih ditingkatkan lg supaya bisa jauh lebih baik untuk kedepannya.
Kritik : Harus lebih disiplin dan tepat waktu lg ketika pembelajaran dimulai.",Cukup
Semoga bisa offline agar bisa praktik langsung.,Cukup
"Tugasnya dikurangin pa, hehe",Cukup
Semoga kedepannya bisa lebih baik lagi dalam mengajar.,Cukup
"Tidak ada, sudah cukup baik",Cukup
"Saran : Sebaiknya dosen dalam pembelajarannya harus diperjelas lg ketika sedang menjelaskan materi pada saat daring supaya mahasiswa lebih mudah memahaminya.
Kritik : Tidak ada",Cukup
Sudah cukup baik semuanya hanya lebih menarik lagi ketika membuat bahan ajar agar cepat dimengerti,Cukup
Lebih menarik lagi ketika membuat bahan ajar agar lebih menyenangkan dan dapat cepat dipahami,Cukup
Lebih menarik lagi membuat bahan ajarnya agar mudah dipahami,Cukup
Lebih jelas lagi ketika menjelaskan materi,Cukup
Ketika menjelaskan jangan cepet-cepet,Cukup
Lebih menarik lagi ketika membuat bahan ajar dan  lebih jelas lagi ketika menjelaskan materi jangan cepet-cepet,Cukup
Menurut saya sudah cukup,Cukup
Sudah cukup baik tapi dalam menerangkan intonasinya terlalu cepat jadi kurang mudah dipahami.,Cukup
Saat menjelaskan materi dimohon untuk tidak terlalu lambat,Cukup
Semoga dapat memberikan modul sebagai referensi belajar.,Cukup
Saat memberikan kuis mohon per bab 1 kuis saja,Cukup
Sebaiknya sebelum presentasi menjelaskan materi terlebih dahulu,Cukup
Adakan kuis,Cukup
Saran agar saat memulai meeting online memberitahukan jam berapa akan dimulai,Cukup
Saat menjelaskan harap jangan bertele-tele,Cukup
Dosen ini sangat bagus dalam mengajar ia juga memberikan media kuliah hanya saja dosen ini sering tidak hadir karena memiliki keperluan yang lain.,Cukup
Harus lebih ditingkatkan lg pembelajarannya supaya jauh lebih baik untuk kedepannya.,Cukup
"Saran saya jangan sering bikin tugas video, labuh baik di ketik atau di tulis saja :)",Cukup
Saran agar memberikan materi pembelajaran untuk belajar,Cukup
Cukup baik dalam mengajar.,Cukup
Cukup baik.,Cukup
Cukup menarik kalau mengajar,Cukup
Cukup baik dalam mengajarnya,Cukup
Cukup baik kalau mengajar,Cukup
Cukup baik mengajarnya,Cukup
Lebih menjelaskan dg detail,Cukup
sudah cukup baik.,Cukup
Pertahankan dan tingkatkan kembali cara mengajarnya,Cukup
Dipertahankan dan Ditingkatkan kembali cara mengajarnya,Cukup
Cukup baik dlm menjelaskan materi,Cukup
Dipertahankan dan Ditingkatkan kembali cara memaparkan materi,Cukup
Mudah di pahami saat menerangkan,Cukup
"Maaf Mr, terlalu banyak tugas, Tolong tugasnya dikurangin😂 ",Cukup
Semoga kedepannya makin baik,Cukup
"Menurut saya, Bapak Arif dalam menjelaskan materi jelas dalam penyampaian, namun seharusnya jangan setiap pertemuan selalu ada tugas, apalagi yang berhubungan dengan medsos karena tidak semua mahasiswa senggang dan tidak dalam bekerja. ",Cukup
Sudah cukup jelas,Cukup
"Jangan keseringan kasih tugas ya pak, karena sudah cukup lelah dengan pekerjaan. bukan maksud mengeluh hanya berkeluh kesah",Cukup
semangat pakkk,Cukup
semoga kedepannya semakin baik lagi,Cukup
Jika mahasiswa 1kelas sudah menyelesaikan kuis. Diharapkan untuk membagikan jawaban yang benar jadi mahasiswa tau bahwa kesalahan dalam mengisi kuis di pertanyaan yg mana (buat evaluasi mahasiswa).,Cukup
Cara mengajarnya sudah baik,Cukup
semangat ibuuuu,Cukup
Kurangi untuk tugas,Cukup
Saran : Semoga jika dipertemukan di semester berikutnya tugas yang diberikan tidak terlalu banyak.,Cukup
Tingkatkan lagi,Cukup
Semoga kedepannya makin baik lagi,Cukup
semangat,Cukup
Semoga kedepannya bisa lebih baik lagi dalam pengajarannya dan semakin menarik,Cukup
Jika memberikan tugas KWU tentang menanam hidroponik sebaiknya dibimbing dan diberikan pemahaman bagi kami secara lebih jelas lagi,Cukup
terus semangat bu,Cukup
Maaf pa harus lebih asik lagi kalo ngajar😂,Cukup
